City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
Terrace,20,CA,1646454682,86,54.5163,-128.6035,33.71,3.44
Taoudenni,0,ML,1646454682,10,22.6783,-3.9836,63.37,6.73
Bārmer,0,IN,1646454683,23,25.75,71.3833,78.13,6.49
Norman Wells,20,CA,1646454683,78,65.282,-126.8329,5.04,3.44
Hualmay,100,PE,1646454684,76,-11.0964,-77.6139,73.0,7.92
Manado,40,ID,1646454684,66,1.487,124.8455,90.37,6.91
Kenai,100,US,1646454462,83,60.5544,-151.2583,36.09,5.75
Ishioka,0,JP,1646454685,28,36.1833,140.2667,64.33,7.9
Mangai,62,CD,1646454685,99,-4.05,19.5333,69.96,1.99
Tacoronte,100,ES,1646454686,79,28.4769,-16.4102,58.17,21.99
Saskylakh,98,RU,1646454686,97,71.9167,114.0833,-23.12,1.07
Nuuk,40,GL,1646454687,63,64.1835,-51.7216,25.41,17.27
Ambon City,40,ID,1646454688,74,-3.6954,128.1814,84.34,8.05
Ormara,98,PK,1646454688,54,25.2088,64.6357,75.15,7.0
Kashgar,75,CN,1646454689,20,39.4547,75.9797,49.21,4.47
Grindavik,75,IS,1646454689,93,63.8424,-22.4338,36.07,12.66
Mariehamn,0,AX,1646454690,93,60.0973,19.9348,19.26,2.3
Pachino,97,IT,1646454691,76,36.7186,15.0907,48.24,8.84
Pandan,66,PH,1646454691,75,14.0453,124.1694,82.13,12.53
Nishihara,20,JP,1646454692,68,26.1842,127.7558,74.86,12.66
Coachella,0,US,1646454692,52,33.6803,-116.1739,64.35,6.91
Médéa,100,DZ,1646454693,93,36.2642,2.7539,39.65,5.06
Ostrovnoy,80,RU,1646454693,90,68.0531,39.5131,8.55,12.15
Kluczbork,100,PL,1646454694,90,50.9728,18.2182,28.98,4.07
Senador Pompeu,94,BR,1646454694,89,-5.5881,-39.3717,72.16,1.95
Beringovskiy,100,RU,1646454694,88,63.05,179.3167,6.8,10.25
Tura,67,IN,1646454695,21,25.5198,90.2201,81.54,7.11
Tateyama,20,JP,1646454696,44,34.9833,139.8667,66.02,23.02
Te Anau,100,NZ,1646454696,40,-45.4167,167.7167,71.42,6.42
Daru,59,PG,1646454697,78,-9.0763,143.2092,83.43,8.5
Gemena,43,CD,1646454698,96,3.25,19.7667,68.45,1.9
Buford,0,US,1646454698,61,34.1207,-84.0043,62.47,6.91
Katherine,14,AU,1646454699,41,-14.4667,132.2667,100.72,3.44
Hanzhong,96,CN,1646454699,22,33.0728,107.0303,66.87,3.74
Stavern,62,NO,1646454676,95,59.0,10.0333,32.36,13.53
Ossora,100,RU,1646454700,84,59.2353,163.0719,14.02,6.44
Taksimo,29,RU,1646454701,75,56.3444,114.8794,6.78,2.39
Jeypore,96,IN,1646454701,20,18.85,82.5833,86.77,5.39
Jiaocheng,14,CN,1646454702,49,24.6774,116.1389,84.22,1.72
Caravelas,7,BR,1646454702,87,-17.7125,-39.2481,75.33,4.76
Carutapera,100,BR,1646454703,94,-1.195,-46.02,75.67,4.61
San Andrés,20,CO,1646454704,78,12.5847,-81.7006,80.62,12.66
Vikhorevka,100,RU,1646454704,86,56.1201,101.1636,20.79,10.89
Xapuri,100,BR,1646454705,94,-10.6517,-68.5044,73.24,2.42
Varhaug,27,NO,1646454705,81,58.6147,5.6457,34.86,10.29
Broken Hill,19,AU,1646454706,33,-31.95,141.4333,76.71,18.41
Bandarbeyla,58,SO,1646454706,62,9.4942,50.8122,78.24,15.77
Braniewo,6,PL,1646454706,77,54.3797,19.8196,28.42,7.85
Quixadá,100,BR,1646454612,94,-4.9714,-39.0153,72.27,2.33
Ancud,54,CL,1646454707,85,-41.8697,-73.8203,50.23,4.59
Arrondissement de Mont-de-Marsan,100,FR,1646454708,93,44.0,-0.6667,45.21,5.75
Tavricheskoye,100,RU,1646454708,89,54.5851,73.6395,17.51,5.01
Makakilo City,100,US,1646454708,63,21.3469,-158.0858,75.52,9.22
Cascais,67,PT,1646454709,59,38.6979,-9.4215,52.93,24.0
Santa Margherita Ligure,86,IT,1646454710,53,44.3346,9.212,48.97,1.99
Price,100,US,1646454710,100,39.5994,-110.8107,39.18,8.05
Pangai,75,TO,1646454711,65,-19.8,-174.35,84.31,4.61
Byron Bay,49,AU,1646454711,79,-28.65,153.6167,84.06,6.46
São José da Coroa Grande,74,BR,1646454712,86,-8.8978,-35.1478,77.59,8.37
Los Llanos de Aridane,75,ES,1646454712,76,28.6585,-17.9182,58.75,21.85
Vila do Maio,0,CV,1646454713,69,15.1333,-23.2167,68.79,23.06
Kandalaksha,100,RU,1646454713,98,67.162,32.4123,12.11,4.32
Kununurra,81,AU,1646454714,41,-15.7667,128.7333,100.38,11.5
Itarema,99,BR,1646454714,85,-2.9248,-39.9167,77.31,7.09
Ahipara,77,NZ,1646454715,57,-35.1667,173.1667,73.33,10.4
Itoman,20,JP,1646454715,68,26.1247,127.6694,75.58,12.66
Gazojak,98,TM,1646454715,54,41.1875,61.4036,48.76,20.58
Ilhéus,100,BR,1646454716,90,-14.7889,-39.0494,74.1,3.27
Calabar,88,NG,1646454717,91,4.9517,8.322,76.06,0.78
Bud,100,US,1646454717,57,39.447,-86.1758,47.68,9.06
Havelock,72,US,1646454541,77,34.8791,-76.9013,50.23,1.01
Saint-Joseph,100,RE,1646454718,82,-21.3667,55.6167,79.18,12.62
Touros,80,BR,1646454718,85,-5.1989,-35.4608,77.9,7.67
Faanui,16,PF,1646454719,73,-16.4833,-151.75,81.63,16.71
Edd,64,ER,1646454719,35,13.9297,41.6925,81.36,14.97
Tual,100,ID,1646454720,79,-5.6667,132.75,82.31,9.53
Itupiranga,99,BR,1646454720,96,-5.1347,-49.3267,73.72,2.48
Vokhma,96,RU,1646454721,91,58.9303,46.7586,21.0,11.07
Mugur-Aksy,100,RU,1646454721,53,50.35,90.5,21.72,3.51
Pangnirtung,100,CA,1646454722,81,66.1451,-65.7125,-5.84,4.68
Sørland,100,NO,1646454722,74,67.667,12.6934,39.99,19.24
Valparaíso,0,CL,1646454627,75,-33.0393,-71.6273,63.48,4.61
Omsukchan,100,RU,1646454723,97,62.5333,155.8,-4.05,5.77
Kukuna,8,SL,1646454724,81,9.4,-12.6667,73.18,1.41
Chumikan,100,RU,1646454724,73,54.7183,135.315,15.71,5.17
Dzhebariki-Khaya,97,RU,1646454725,86,62.2167,135.8,8.04,0.36
Jatiroto,80,ID,1646454726,68,-7.8833,111.1167,84.76,8.88
Aden,46,YE,1646454681,60,12.7794,45.0367,77.92,18.88
Sasovo,100,RU,1646454726,84,54.3537,41.9199,26.37,18.16
Alofi,98,NU,1646454727,83,-19.0595,-169.9187,82.29,6.91
Winnemucca,100,US,1646454727,87,40.973,-117.7357,39.25,8.05
Usinsk,31,RU,1646454728,97,65.9939,57.5281,-15.43,9.93
Hoquiam,0,US,1646454729,88,46.9809,-123.8893,46.02,0.0
Tautira,51,PF,1646454729,75,-17.7333,-149.15,78.82,20.49
Bousso,91,TD,1646454730,23,10.4795,16.7117,85.3,4.18
Walvis Bay,100,NA,1646454730,94,-22.9575,14.5053,61.09,8.05
Mitsamiouli,20,KM,1646454731,88,-11.3847,43.2844,77.29,5.75
Palmer,20,US,1646454732,67,42.1584,-72.3287,25.41,3.44
Barajevo,77,RS,1646454732,87,44.5789,20.4158,27.25,1.97
Champerico,20,GT,1646454733,67,14.3,-91.9167,82.35,5.5
Salym,100,RU,1646454733,86,60.0625,71.4789,0.32,4.88
Clarence Town,100,AU,1646454734,68,-32.5833,151.7833,83.61,1.99
Padang,99,ID,1646454734,66,-0.9492,100.3543,89.65,6.91
Kasane,0,BW,1646454735,100,-17.8167,25.15,71.69,3.44
Carauari,100,BR,1646454735,99,-4.8828,-66.8958,72.03,1.86
Jonesboro,0,US,1646454622,71,35.8423,-90.7043,60.03,0.0
Esso,91,RU,1646454737,87,55.9333,158.7,19.4,3.6
Gloucester,79,GB,1646454621,85,51.8657,-2.2431,41.58,6.29
Otane,96,NZ,1646454737,58,-39.8833,176.6333,76.39,6.64
Presidente Olegário,14,BR,1646454738,84,-18.4178,-46.4181,65.19,2.89
Wewak,97,PG,1646454739,69,-3.5534,143.6268,84.49,9.04
San Jose,40,US,1646454715,65,37.3394,-121.895,49.71,14.97
Ouésso,76,CG,1646454740,98,1.6136,16.0517,69.4,2.33
Cabo San Lucas,0,MX,1646454740,63,22.8909,-109.9124,71.62,10.22
Camopi,100,GF,1646454741,100,3.1655,-52.3158,71.37,1.14
Plouzané,75,FR,1646454741,78,48.3833,-4.6167,42.85,8.05
Evensk,4,RU,1646454742,79,61.95,159.2333,10.87,8.99
Chinsali,99,ZM,1646454742,95,-10.5414,32.0816,64.17,0.94
Finale Ligure,99,IT,1646454743,88,44.1695,8.3436,47.82,3.0
El Tigre,68,VE,1646454743,73,8.8875,-64.2454,74.23,12.5
Krasnogvardeyskoye,100,RU,1646454744,76,45.8456,41.5186,37.27,26.19
Tazovsky,79,RU,1646454745,97,67.4667,78.7,-13.23,7.74
Ishigaki,20,JP,1646454745,73,24.3448,124.1572,75.33,11.5
Ziro,66,IN,1646454746,44,27.6333,93.8333,56.14,0.65
Pedasí,95,PA,1646454746,78,7.5333,-80.0333,74.07,17.78
Vila Velha,20,BR,1646454747,83,-20.3297,-40.2925,76.95,3.44
Zemio,27,CF,1646454747,59,5.0314,25.1361,72.25,1.86
Tchibanga,99,GA,1646454747,98,-2.85,11.0333,71.42,0.78
Kārsava,80,LV,1646454748,98,56.7841,27.6883,17.2,4.5
Manokwari,100,ID,1646454748,91,-0.8667,134.0833,77.18,3.49
Manzanillo,17,CU,1646454749,82,20.3433,-77.1167,73.2,12.46
Gallup,40,US,1646454721,73,35.5281,-108.7426,35.44,14.97
Hasaki,0,JP,1646454750,45,35.7333,140.8333,63.28,18.21
Pitimbu,74,BR,1646454751,84,-7.4706,-34.8086,77.59,9.28
Yatou,0,CN,1646454751,33,37.15,122.3833,39.79,22.73
Paamiut,100,GL,1646454752,83,61.994,-49.6678,21.67,16.31
Calama,40,CL,1646454752,76,-22.4667,-68.9333,54.09,5.75
Indian Head,0,US,1646454716,64,38.6001,-77.1622,39.09,8.05
Poso,100,ID,1646454753,87,-1.3959,120.7524,79.23,3.71
Fallon,40,US,1646454754,44,39.4735,-118.7774,48.07,18.41
Saint-Prosper,94,CA,1646454754,96,46.2117,-70.4811,15.31,6.67
Nhulunbuy,75,AU,1646454755,66,-12.2333,136.7667,90.21,14.97
Dalby,89,AU,1646454756,39,-27.1833,151.2667,84.9,5.88
Sarkand,49,KZ,1646454756,68,45.41,79.9186,46.98,4.36
Sturgis,0,US,1646454757,62,41.7992,-85.4192,36.9,9.22
Barcelos,98,PT,1646454757,79,41.5388,-8.6151,43.92,3.49
Soyo,99,AO,1646454758,81,-6.1349,12.3689,80.04,1.77
Prome,11,MM,1646454545,10,18.8167,95.2167,95.41,0.67
Poya,75,NC,1646454758,67,-21.35,165.15,84.04,4.34
Hobyo,30,SO,1646454759,58,5.3505,48.5268,79.9,20.92
Nanortalik,100,GL,1646454759,89,60.1432,-45.2371,23.68,12.15
Shimoda,0,JP,1646454760,52,34.6667,138.95,61.11,24.05
Marystown,96,CA,1646454760,100,47.1666,-55.1483,18.86,3.0
Asău,73,RO,1646454761,92,46.4333,26.4,27.52,3.42
Opunake,90,NZ,1646454761,70,-39.4556,173.8583,68.61,5.41
Frankfort,81,ZA,1646454762,93,-27.2667,28.4833,61.07,4.45
Coquimbo,20,CL,1646454693,100,-29.9533,-71.3436,60.53,4.61
Kailua,75,US,1646454763,65,21.4022,-157.7394,76.98,5.75
North Bend,75,US,1646454763,90,43.4065,-124.2243,44.51,6.91
Port-Gentil,78,GA,1646454764,85,-0.7193,8.7815,77.97,5.26
Tomatlán,4,MX,1646454764,70,19.9333,-105.25,65.73,3.27
Kyzyl-Mazhalyk,100,RU,1646454765,83,51.1333,90.6,15.75,1.23
Fevik,33,NO,1646454765,80,58.3794,8.6766,28.17,5.23
Raja,51,SS,1646454617,23,8.4596,25.678,74.05,3.56
Marabu,40,MY,1646454766,78,4.4148,114.0089,82.54,5.75
Karwar,95,IN,1646454767,32,14.8,74.1333,87.66,1.95
Levokumskoye,100,RU,1646454767,64,44.8219,44.6606,38.01,30.38
Bilma,100,NE,1646454768,12,18.6853,12.9164,74.39,6.13
Clyde River,30,CA,1646454768,97,70.4692,-68.5914,-18.26,5.48
Kalmunai,80,LK,1646454769,72,7.4167,81.8167,82.56,10.83
Olinda,75,BR,1646454769,94,-8.0089,-34.8553,74.93,5.75
New Waterford,100,US,1646454770,68,40.8451,-80.6145,35.08,4.05
Lodwar,65,KE,1646454770,31,3.1191,35.5973,83.7,10.09
Verāval,0,IN,1646454771,30,20.9,70.3667,82.26,10.09
Bakchar,100,RU,1646454771,91,57.0186,82.0711,17.82,3.94
Challakere,72,IN,1646454772,23,14.3167,76.65,84.02,12.3
Pareora,100,NZ,1646454772,79,-44.4871,171.2132,68.18,9.24
Baoqing,100,CN,1646454773,92,46.3317,132.2111,23.92,21.16
Mocuba,4,MZ,1646454773,89,-16.8392,36.9856,72.27,1.12
Gold Coast,52,AU,1646454712,82,-28.0,153.4333,89.28,9.22
Sioux Lookout,100,CA,1646454774,38,50.1001,-91.917,21.58,5.75
Racine,100,US,1646454775,71,42.7495,-88.0751,37.45,7.0
Progreso,3,MX,1646454775,77,21.2833,-89.6667,77.11,11.72
Kushmurun,100,KZ,1646454776,90,52.4503,64.6311,31.44,13.78
Iqaluit,0,CA,1646454776,75,63.7506,-68.5145,-18.31,10.36
Bartica,66,GY,1646454777,98,6.4,-58.6167,75.52,1.21
Waipawa,8,NZ,1646454778,63,-41.4122,175.5153,68.63,5.3
Sazonovo,63,RU,1646454779,96,59.0919,35.2268,13.89,5.61
Mayskiy,100,RU,1646454647,87,47.6931,40.1025,37.44,18.77
Sarab,100,IR,1646454779,42,38.6066,44.9883,36.39,4.92
Bariloche,40,AR,1646454780,53,-41.1456,-71.3082,47.95,14.97
Port Augusta,35,AU,1646454780,46,-32.5,137.7667,81.72,22.37
Dezhou,0,CN,1646454781,11,37.4486,116.2925,53.24,6.4
Florestópolis,26,BR,1646454781,90,-22.8633,-51.3872,75.61,3.94
Lata,72,PT,1646454782,93,40.1629,-8.3327,41.41,1.48
Polovinnoye,100,RU,1646454782,97,54.7914,65.9864,26.19,7.72
Vaitape,17,PF,1646454783,74,-16.5167,-151.75,81.59,16.69
Salalah,0,OM,1646454783,37,17.0151,54.0924,71.69,2.3
Palu,100,ID,1646454784,91,-0.8917,119.8707,79.12,1.48
Muros,100,ES,1646454784,92,42.7762,-9.0603,41.5,6.02
Shirokiy,100,RU,1646454785,93,49.758,129.523,25.99,11.34
Tsaratanana,96,MG,1646454785,83,-16.7833,47.65,76.59,6.69
Treinta y Tres,41,UY,1646454786,95,-33.2333,-54.3833,69.4,8.37
Neryungri,97,RU,1646454786,75,56.6709,124.6491,6.51,9.4
Saint-Augustin,100,CA,1646454787,92,51.226,-58.6502,-0.81,8.9
Mareeba,88,AU,1646454788,61,-17.0,145.4333,93.43,2.55
Samarai,99,PG,1646454788,68,-10.6167,150.6667,86.16,15.17
Belaya Gora,97,RU,1646454789,94,68.5333,146.4167,-9.85,0.92
Ampanihy,1,MG,1646454789,73,-24.7,44.75,78.96,5.59
Manglisi,82,GE,1646454790,57,41.697,44.3845,27.19,6.2
Sikasso,14,ML,1646454791,25,10.9167,-7.0,74.37,4.92
Santander,75,ES,1646454791,92,43.4647,-3.8044,44.46,4.61
Yaan,70,NG,1646454792,72,7.3833,8.5667,78.6,6.53
Vestmannaeyjar,71,IS,1646454792,80,63.4427,-20.2734,41.58,10.92
Muroto-misakicho,1,JP,1646454792,59,33.2833,134.15,60.84,20.07
Nome,100,US,1646454548,86,64.5011,-165.4064,32.16,3.44
Río Gallegos,0,AR,1646454793,71,-51.6226,-69.2181,46.45,23.02
Uthal,100,PK,1646454794,34,25.8072,66.6219,78.76,1.34
Campagna,100,IT,1646454795,84,40.6653,15.1059,41.41,4.0
Kiryat Gat,19,IL,1646454795,71,31.61,34.7642,50.4,4.52
Vao,16,NC,1646454796,76,-22.6667,167.4833,79.63,4.59
Manbij,28,SY,1646454796,65,36.5281,37.9549,34.57,4.14
Novokizhinginsk,34,RU,1646454796,64,51.6115,109.5917,24.46,3.22
Laas,17,IT,1646454797,73,46.6166,10.7002,27.01,3.98
Bingöl,97,TR,1646454797,91,38.8847,40.4939,27.7,1.03
Spilimbergo,0,IT,1646454798,71,46.1125,12.8969,38.16,8.05
Marsh Harbour,0,BS,1646454798,67,26.5412,-77.0636,73.27,22.48
Isla Vista,0,US,1646454734,71,34.4133,-119.861,54.28,8.05
Codrington,94,AU,1646454799,81,-38.2667,141.9667,67.1,17.78
College,75,US,1646454612,73,64.8569,-147.8028,29.86,5.75
Calabozo,46,VE,1646454800,64,8.9242,-67.4293,79.02,8.63
Rawson,13,AR,1646454800,39,-43.3002,-65.1023,61.16,22.93
Monrovia,14,LR,1646454607,91,6.3005,-10.7969,78.31,2.89
Safi,94,MA,1646454801,72,32.2994,-9.2372,52.45,11.16
Mahébourg,75,MU,1646454801,83,-20.4081,57.7,80.89,8.05
Okhotsk,100,RU,1646454802,79,59.3833,143.3,18.1,15.03
Half Moon Bay,75,US,1646454552,73,37.4636,-122.4286,49.75,20.71
Oktyabr'skiy,100,RU,1646454803,96,54.4815,53.471,26.94,11.56
Fairbanks,0,US,1646454583,74,64.8378,-147.7164,28.4,5.75
São João da Barra,5,BR,1646454575,88,-21.6403,-41.0511,77.16,14.67
Naze,0,JP,1646454557,63,28.3667,129.4833,65.32,10.69
Três Lagoas,49,BR,1646454805,88,-20.7511,-51.6783,69.94,5.5
Xam Nua,5,LA,1646454805,37,20.4197,104.0439,86.49,2.53
Igarka,92,RU,1646454806,90,67.4667,86.5833,-10.7,10.47
Anloga,100,GH,1646454806,75,5.7947,0.8973,80.82,5.3
Sandwick,40,GB,1646454807,75,60.0,-1.25,40.82,9.22
Anadyr,75,RU,1646454807,78,64.75,177.4833,7.3,6.71
Noumea,18,NC,1646454777,68,-22.2763,166.4572,85.98,5.53
Port Hedland,24,AU,1646454808,36,-20.3167,118.5667,93.25,9.22
Karligan,69,PH,1646454809,64,14.975,122.0456,82.06,9.44
Umluj,70,SA,1646454705,52,25.0213,37.2685,68.81,6.55
Kastraki,100,GR,1646454810,98,39.7156,21.6181,42.42,1.36
Nioro,55,GM,1646454810,9,13.35,-15.75,73.02,7.31
Polunochnoye,100,RU,1646454810,93,60.8697,60.4153,13.73,7.61
Chenghai,3,CN,1646454811,73,23.4632,116.768,73.31,8.95
Hofn,46,IS,1646454811,59,64.2539,-15.2082,34.81,11.45
Eyl,48,SO,1646454812,60,7.9803,49.8164,78.57,16.37
Necochea,36,AR,1646454812,69,-38.5473,-58.7368,59.94,8.55
Natchitoches,0,US,1646454813,72,31.7668,-93.1335,66.88,10.36
Arrondissement de Bergerac,100,FR,1646454813,100,44.8333,0.5,46.78,6.91
Dukat,93,RU,1646454814,97,62.55,155.55,-4.74,4.5
Menongue,100,AO,1646454555,95,-14.6585,17.691,64.13,2.86
Rognan,100,NO,1646454815,88,67.0953,15.3878,35.76,6.08
Ilulissat,41,GL,1646454815,46,69.2167,-51.1,24.82,8.05
Birao,61,CF,1646454816,20,10.2849,22.7882,71.56,5.88
Naryan-Mar,93,RU,1646454816,100,67.6713,53.087,-23.12,4.41
Taicheng,0,CN,1646454817,15,38.731,113.228,40.05,6.46
Erzin,40,TR,1646454817,77,36.9559,36.2,41.72,2.1
Mana,92,GF,1646454818,92,5.6592,-53.7767,74.89,8.1
Tonj,25,SS,1646454818,30,7.2737,28.6822,80.28,3.02
Panabá,16,MX,1646454819,85,21.2833,-88.2667,70.0,7.65
Martapura,75,ID,1646454819,79,-3.4167,114.85,84.29,4.61
Brownsville,0,US,1646454732,87,25.9018,-97.4975,70.92,9.22
Chernogorsk,0,RU,1646454821,55,53.8236,91.2842,31.53,11.18
Waitati,95,NZ,1646454821,72,-45.75,170.5667,65.8,8.05
Gladstone,40,AU,1646454822,58,-23.85,151.25,94.78,9.22
Penzance,3,GB,1646454822,66,50.1186,-5.5371,43.77,17.0
Ayagoz,97,KZ,1646454823,100,47.9714,80.4392,32.27,2.51
Aktobe,100,KZ,1646454823,93,50.2797,57.2072,33.89,22.37
Lucapa,100,AO,1646454825,97,-8.4192,20.7447,65.75,2.48
Alanya,50,TR,1646454826,56,36.5438,31.9998,46.53,5.5
Poddor'ye,99,RU,1646454826,93,57.4695,31.1156,21.96,6.11
Diffa,100,NE,1646454826,10,13.3154,12.6113,76.23,8.46
Selenginsk,98,RU,1646454827,75,52.0064,106.8647,9.01,5.66
Vichuga,78,RU,1646454734,93,57.2128,41.9301,21.67,11.05
Yashkino,100,RU,1646454737,91,55.8736,85.4265,18.55,8.52
Nyurba,100,RU,1646454828,86,63.2842,118.3319,7.38,5.06
Sola,31,VU,1646454829,71,-13.8833,167.55,82.67,4.03
Yeppoon,43,AU,1646454829,72,-23.1333,150.7333,92.98,10.09
Nushki,83,PK,1646454830,19,29.5542,66.0215,71.11,17.38
